Customer_ID,Customer_Status,Age,Gender,Marital_Status,Province,Income_Category,Card_Category,Months_on_Book,Contacts_Count_12m,Credit_Limit,Total_Trans_Amt,Total_Trans_Count,Avg_Utilization_Ratio
1000045,Existing Customer,40,M,Married,Maysan,Less than 10M,Blue,47,4,9964769,14290819,94,0.274
1000046,Existing Customer,62,M,Unknown,Sulaymaniyah,60M+,Blue,51,2,4553305,9284195,104,0.351
1000047,Churned Customer,29,F,Unknown,Duhok,40M - 60M,Blue,36,6,4748035,1464525,12,0.087
1000048,Existing Customer,27,M,Married,Duhok,20M - 40M,Silver,16,5,18191889,4279924,104,0.289
1000049,Existing Customer,62,M,Married,Maysan,40M - 60M,Silver,15,0,14050100,2399078,110,0.364
1000050,Churned Customer,30,M,Single,Babil,10M - 20M,Blue,14,4,19474153,9413642,11,0.124
1000051,Churned Customer,51,M,Single,Duhok,20M - 40M,Blue,55,4,14984114,11182672,28,0.004
1000052,Existing Customer,39,F,Married,Maysan,60M+,Blue,58,4,20936751,6592301,44,0.005
1000053,Existing Customer,33,M,Divorced,Diyala,20M - 40M,Blue,31,1,11839855,2787947,114,0.254
1000054,Existing Customer,43,M,Married,Dhi Qar,60M+,Blue,16,5,10059244,6150000,109,0.497
1000055,Existing Customer,22,M,Divorced,Diyala,60M+,Blue,52,2,19289784,11136480,32,0.393
1000056,Churned Customer,31,M,Married,Karbala,Less than 10M,Blue,13,5,21124375,2658412,39,0.044
1000057,Existing Customer,42,M,Single,Kirkuk,40M - 60M,Blue,31,2,2127166,11796303,36,0.511
1000058,Churned Customer,27,M,Unknown,Basra,10M - 20M,Blue,39,1,13199498,8387929,27,0.112
1000059,Existing Customer,63,F,Married,Maysan,60M+,Blue,22,5,4925728,12979861,33,0.31
1000060,Existing Customer,49,F,Divorced,Qadisiyah,20M - 40M,Silver,48,3,3557755,8147100,19,0.359
1000061,Existing Customer,21,M,Unknown,Najaf,60M+,Blue,43,3,2042134,10592731,93,0.759
1000062,Existing Customer,56,M,Married,Erbil,Unknown,Silver,48,3,7772847,11922636,49,0.539
1000063,Existing Customer,60,M,Single,Wasit,20M - 40M,Blue,35,5,13037368,11352422,118,0.671
1000064,Existing Customer,61,M,Married,Maysan,Less than 10M,Silver,45,6,7566247,4304266,76,0.781
1000065,Existing Customer,47,M,Married,Karbala,Unknown,Blue,24,5,13235687,532530,58,0.408
1000066,Existing Customer,65,F,Single,Duhok,Less than 10M,Platinum,54,1,20812431,13295372,10,0.468
1000067,Existing Customer,26,M,Divorced,Najaf,Unknown,Blue,22,4,7807827,2768724,109,0.417
1000068,Existing Customer,48,F,Divorced,Duhok,40M - 60M,Blue,25,1,5114197,11407080,43,0.25
1000069,Existing Customer,23,M,Unknown,Qadisiyah,Less than 10M,Blue,52,1,14137755,13089386,54,0.065
1000070,Existing Customer,31,M,Single,Wasit,Unknown,Gold,56,2,22884949,14259277,94,0.005
1000071,Existing Customer,54,F,Single,Dhi Qar,20M - 40M,Blue,41,2,10990991,9329202,97,0.263
1000072,Churned Customer,37,M,Married,Najaf,60M+,Silver,34,1,20018502,2419829,39,0.148
1000073,Existing Customer,58,M,Married,Sulaymaniyah,Unknown,Platinum,57,1,3611338,8290042,58,0.789
1000074,Existing Customer,54,F,Unknown,Qadisiyah,60M+,Blue,22,2,18248755,12692063,89,0.767
1000075,Existing Customer,32,M,Divorced,Kirkuk,Unknown,Blue,42,2,22980536,13811250,19,0.521
1000076,Churned Customer,42,M,Single,Dhi Qar,Unknown,Blue,31,6,14746492,6056713,26,0.053
1000077,Existing Customer,30,M,Married,Duhok,20M - 40M,Blue,12,1,16015081,4160116,81,0.494
1000078,Existing Customer,37,F,Divorced,Babil,Less than 10M,Blue,23,5,6151812,834642,33,0.06
1000079,Churned Customer,42,M,Married,Sulaymaniyah,60M+,Blue,47,4,24955914,11575106,35,0.05
1000080,Existing Customer,40,M,Divorced,Dhi Qar,60M+,Blue,55,2,22949298,3791215,42,0.384
1000081,Existing Customer,21,F,Divorced,Dhi Qar,Unknown,Blue,53,6,21817549,12807438,48,0.217
1000082,Churned Customer,38,F,Unknown,Dhi Qar,60M+,Blue,57,4,5114208,13734609,20,0.038
1000083,Existing Customer,26,F,Single,Basra,40M - 60M,Blue,52,3,19683534,9132003,62,0.448
1000084,Existing Customer,60,M,Married,Diyala,Less than 10M,Gold,43,2,10291552,2607575,85,0.358
1000085,Existing Customer,22,M,Unknown,Nineveh,60M+,Blue,12,2,16635412,9627299,34,0.786
1000086,Existing Customer,41,F,Married,Nineveh,10M - 20M,Blue,42,1,7503947,10894880,47,0.645
1000087,Existing Customer,44,F,Single,Kirkuk,40M - 60M,Silver,48,3,16600601,12271562,98,0.078
1000088,Existing Customer,37,M,Divorced,Sulaymaniyah,40M - 60M,Silver,54,2,16830421,9209570,40,0.105
1000089,Churned Customer,22,M,Unknown,Duhok,60M+,Blue,16,4,22881641,7798570,30,0.162
1000090,Churned Customer,42,F,Single,Sulaymaniyah,60M+,Blue,51,6,9584931,5622419,18,0.196
1000091,Existing Customer,53,F,Married,Salah Al-Din,20M - 40M,Blue,29,1,17691743,7167737,46,0.054
1000092,Existing Customer,29,F,Single,Basra,Less than 10M,Gold,16,3,9647650,10989728,26,0.265
1000093,Existing Customer,27,F,Single,Qadisiyah,40M - 60M,Blue,18,2,7659884,8722319,20,0.502
1000094,Existing Customer,29,M,Divorced,Duhok,10M - 20M,Blue,56,3,2032462,5192295,66,0.595
1000095,Churned Customer,31,M,Married,Basra,20M - 40M,Blue,43,4,7900506,6926194,24,0.186
1000096,Existing Customer,26,M,Married,Kirkuk,40M - 60M,Blue,23,0,11722875,6589634,65,0.616
1000097,Existing Customer,63,F,Single,Diyala,40M - 60M,Blue,59,2,14125488,4255682,21,0.169
1000098,Existing Customer,40,M,Single,Wasit,10M - 20M,Blue,44,3,13277002,2935815,20,0.547
1000099,Churned Customer,33,M,Divorced,Baghdad,10M - 20M,Gold,20,5,4006305,14180658,18,0.18
1000100,Churned Customer,22,M,Single,Duhok,40M - 60M,Platinum,41,6,22099022,5163803,13,0.168
1000101,Existing Customer,54,F,Married,Duhok,Unknown,Blue,42,0,19737379,5805010,12,0.093
1000102,Churned Customer,49,F,Divorced,Duhok,Less than 10M,Blue,37,6,10650523,6126844,6,0.162
1000103,Churned Customer,59,F,Divorced,Kirkuk,60M+,Blue,18,2,20358018,875853,12,0.131
1000104,Existing Customer,56,F,Unknown,Maysan,Unknown,Blue,51,5,11790545,2491573,45,0.395
1000105,Existing Customer,42,M,Unknown,Nineveh,60M+,Blue,37,0,1624649,2964547,16,0.615
1000106,Existing Customer,47,M,Single,Nineveh,20M - 40M,Silver,28,0,17126204,3074064,22,0.273
1000107,Existing Customer,54,F,Married,Dhi Qar,Unknown,Blue,45,2,10064359,9750681,12,0.42
1000108,Existing Customer,62,F,Married,Baghdad,20M - 40M,Blue,30,1,21204735,14346843,34,0.356
1000109,Churned Customer,28,M,Unknown,Kirkuk,20M - 40M,Blue,28,4,5195339,4068098,32,0.037
1000110,Existing Customer,44,F,Divorced,Babil,10M - 20M,Blue,35,0,21544977,8950875,97,0.488
1000111,Churned Customer,30,M,Single,Dhi Qar,20M - 40M,Blue,51,6,9055831,11975877,7,0.182
1000112,Existing Customer,52,M,Unknown,Salah Al-Din,60M+,Blue,34,2,5096264,13244132,19,0.33
1000113,Existing Customer,34,M,Unknown,Maysan,20M - 40M,Blue,31,1,14799029,4987032,56,0.47
1000114,Churned Customer,25,F,Single,Dhi Qar,Unknown,Blue,55,5,16992493,8013428,32,0.046
1000115,Existing Customer,56,F,Divorced,Karbala,Less than 10M,Blue,48,2,9123881,7010918,66,0.321
1000116,Churned Customer,49,F,Unknown,Diyala,60M+,Blue,30,4,10043777,1101037,36,0.179
1000117,Churned Customer,22,M,Married,Diyala,60M+,Blue,15,5,10907723,6339683,8,0.196
1000118,Churned Customer,41,M,Divorced,Najaf,40M - 60M,Silver,15,5,22367805,11268671,6,0.193
1000119,Existing Customer,42,M,Married,Qadisiyah,Unknown,Silver,44,1,10507669,7007937,18,0.002
1000120,Existing Customer,35,M,Unknown,Qadisiyah,40M - 60M,Blue,14,4,19893635,11554379,90,0.198
1000121,Churned Customer,60,F,Unknown,Qadisiyah,40M - 60M,Gold,25,4,23616350,1443558,13,0.15
1000122,Existing Customer,69,F,Divorced,Duhok,20M - 40M,Blue,15,2,19963039,9142158,54,0.083
1000123,Existing Customer,37,M,Unknown,Baghdad,20M - 40M,Blue,36,6,9414956,13302950,106,0.231
1000124,Churned Customer,62,M,Unknown,Erbil,Less than 10M,Blue,35,2,16981367,761653,24,0.012
1000125,Existing Customer,61,M,Divorced,Anbar,40M - 60M,Silver,34,3,16314288,14459506,89,0.287
1000126,Existing Customer,56,M,Married,Anbar,20M - 40M,Gold,41,3,18692895,6217679,110,0.607
1000127,Existing Customer,69,M,Divorced,Sulaymaniyah,60M+,Blue,38,3,22217515,14581148,40,0.624
1000128,Existing Customer,63,F,Unknown,Babil,10M - 20M,Blue,39,2,2933800,4044464,82,0.749
1000129,Churned Customer,49,F,Unknown,Diyala,Unknown,Blue,30,2,13573607,1005509,31,0.068
1000130,Existing Customer,59,F,Married,Kirkuk,60M+,Blue,45,2,22086827,9614605,75,0.19
1000131,Churned Customer,22,F,Single,Maysan,Unknown,Silver,17,5,17370663,10165457,35,0.042
1000132,Churned Customer,29,F,Married,Qadisiyah,10M - 20M,Blue,32,4,21425521,11535334,38,0.109
1000133,Churned Customer,47,F,Single,Karbala,20M - 40M,Blue,19,4,24241811,7221725,36,0.164
1000134,Existing Customer,58,F,Unknown,Muthanna,60M+,Blue,19,3,7091351,1628610,65,0.682
1000135,Existing Customer,38,F,Single,Basra,60M+,Blue,19,0,18945593,2180683,35,0.795
1000136,Existing Customer,30,F,Single,Wasit,Less than 10M,Blue,44,4,12336794,1393142,78,0.669
1000137,Existing Customer,25,F,Unknown,Muthanna,10M - 20M,Gold,36,1,6880871,12700479,96,0.726
1000138,Existing Customer,21,M,Divorced,Najaf,10M - 20M,Blue,28,0,15769500,6435767,87,0.308
1000139,Existing Customer,57,F,Single,Diyala,10M - 20M,Blue,22,0,21135083,11424839,64,0.7
1000140,Churned Customer,41,M,Single,Karbala,60M+,Blue,29,5,7049808,2241111,28,0.086
1000141,Existing Customer,60,M,Married,Kirkuk,20M - 40M,Blue,48,4,3628771,9363682,108,0.244
1000142,Churned Customer,27,M,Divorced,Qadisiyah,40M - 60M,Gold,41,1,14145449,6734972,19,0.125
1000143,Churned Customer,23,M,Divorced,Nineveh,60M+,Blue,30,4,15092562,9721338,27,0.098
1000144,Existing Customer,25,M,Married,Najaf,Unknown,Silver,50,1,24656138,5151867,107,0.259
1000145,Existing Customer,39,F,Single,Dhi Qar,Less than 10M,Blue,34,3,7522195,5550854,88,0.47
1000146,Existing Customer,68,F,Single,Karbala,Unknown,Silver,33,6,20491239,14505842,72,0.33
1000147,Churned Customer,55,F,Married,Qadisiyah,10M - 20M,Platinum,51,5,6053421,5969299,40,0.013
1000148,Churned Customer,49,F,Married,Wasit,10M - 20M,Silver,20,1,4264616,10477604,6,0.078
1000149,Churned Customer,33,M,Single,Wasit,10M - 20M,Silver,51,0,19246699,872771,6,0.01
1000150,Existing Customer,63,M,Married,Baghdad,10M - 20M,Blue,16,0,21599907,1499287,14,0.03
1000151,Existing Customer,46,M,Unknown,Karbala,Less than 10M,Blue,53,1,5614564,5662862,83,0.366
1000152,Churned Customer,23,F,Married,Diyala,60M+,Gold,49,5,21554052,2263523,37,0.098
1000153,Churned Customer,64,F,Divorced,Baghdad,Unknown,Blue,50,6,8755706,13630000,12,0.025
1000154,Churned Customer,57,M,Divorced,Muthanna,Less than 10M,Blue,52,4,11237884,6518214,22,0.132
1000155,Churned Customer,31,M,Unknown,Salah Al-Din,20M - 40M,Blue,29,4,13784919,8442620,28,0.037
1000156,Existing Customer,36,M,Single,Qadisiyah,10M - 20M,Blue,35,3,13485216,3239888,73,0.781
1000157,Existing Customer,40,F,Single,Qadisiyah,20M - 40M,Gold,56,2,8280984,8943288,19,0.724
1000158,Existing Customer,60,F,Divorced,Wasit,20M - 40M,Blue,38,5,16469560,14300017,91,0.643
1000159,Existing Customer,40,F,Unknown,Muthanna,60M+,Blue,44,0,18382918,6180507,88,0.704
1000160,Existing Customer,44,M,Divorced,Maysan,40M - 60M,Silver,22,1,2488586,9324582,17,0.476
1000161,Churned Customer,31,F,Divorced,Baghdad,Unknown,Silver,26,5,5881991,8042409,40,0.066
1000162,Churned Customer,49,M,Unknown,Diyala,20M - 40M,Blue,36,6,15557087,14441412,25,0.168
1000163,Existing Customer,30,M,Unknown,Kirkuk,60M+,Blue,16,5,21832601,3026233,102,0.413
1000164,Existing Customer,40,M,Married,Karbala,40M - 60M,Blue,49,2,18898440,13700724,95,0.099
1000165,Existing Customer,54,M,Married,Basra,10M - 20M,Silver,57,0,10757420,3913095,68,0.704
1000166,Churned Customer,54,F,Single,Karbala,Unknown,Blue,60,3,1907297,683128,36,0.032
1000167,Churned Customer,36,M,Single,Diyala,20M - 40M,Blue,17,4,23377118,11481297,34,0.054
1000168,Existing Customer,25,F,Unknown,Qadisiyah,60M+,Blue,42,2,4564286,11864514,15,0.248
1000169,Churned Customer,46,F,Unknown,Wasit,10M - 20M,Blue,40,6,6053739,8917583,14,0.124
1000170,Existing Customer,62,F,Divorced,Muthanna,Less than 10M,Blue,14,1,3647845,2383509,32,0.315
1000171,Churned Customer,22,F,Married,Kirkuk,Less than 10M,Blue,18,0,5163888,13733486,22,0.065
1000172,Churned Customer,66,M,Single,Najaf,10M - 20M,Blue,48,5,19094848,4427399,12,0.105
1000173,Existing Customer,53,M,Divorced,Dhi Qar,10M - 20M,Blue,18,3,6538923,10450330,82,0.378
1000174,Churned Customer,41,M,Single,Basra,Unknown,Blue,37,2,9665337,13186373,10,0.074
1000175,Existing Customer,62,M,Married,Diyala,40M - 60M,Blue,60,3,8318205,11478234,29,0.721
1000176,Churned Customer,28,M,Married,Karbala,Less than 10M,Platinum,57,6,17183635,14596246,19,0.077
1000177,Existing Customer,69,M,Divorced,Diyala,40M - 60M,Blue,52,4,2297516,10695876,13,0.701
1000178,Existing Customer,56,F,Divorced,Muthanna,20M - 40M,Blue,37,5,5700740,12058760,87,0.73
1000179,Churned Customer,63,F,Single,Salah Al-Din,40M - 60M,Blue,39,5,22943628,14105737,19,0.018
1000180,Churned Customer,54,M,Married,Maysan,60M+,Silver,20,4,10617751,3948550,16,0.065
1000181,Existing Customer,40,M,Married,Baghdad,60M+,Silver,43,4,6915971,12361013,69,0.516
1000182,Churned Customer,43,F,Married,Karbala,20M - 40M,Silver,44,6,16750849,3221765,16,0.141
1000183,Existing Customer,60,M,Married,Anbar,40M - 60M,Blue,50,2,3887944,4916330,78,0.188
1000184,Existing Customer,66,M,Single,Muthanna,40M - 60M,Blue,26,4,20176336,3006456,21,0.09
1000185,Existing Customer,43,F,Divorced,Salah Al-Din,40M - 60M,Gold,50,2,8893131,9896581,96,0.659
1000186,Existing Customer,70,M,Single,Qadisiyah,40M - 60M,Blue,34,1,16726737,14207691,81,0.38
1000187,Existing Customer,59,M,Married,Anbar,40M - 60M,Blue,25,0,10211124,3578862,35,0.224
1000188,Existing Customer,58,F,Single,Erbil,20M - 40M,Blue,49,1,6332319,2798789,96,0.152
1000189,Existing Customer,28,F,Married,Basra,Unknown,Blue,28,0,2933812,12217316,34,0.19
1000190,Churned Customer,62,M,Single,Sulaymaniyah,40M - 60M,Blue,20,6,9659396,14136676,33,0.033
1000191,Existing Customer,50,M,Unknown,Duhok,Less than 10M,Blue,55,3,7045910,11815668,118,0.598
1000192,Existing Customer,66,F,Married,Baghdad,40M - 60M,Silver,35,2,9559715,3609252,49,0.344
1000193,Churned Customer,53,F,Married,Duhok,40M - 60M,Silver,30,5,21391754,10270630,36,0.033
1000194,Churned Customer,36,M,Unknown,Maysan,20M - 40M,Blue,13,6,22473634,10249814,10,0.149
1000195,Churned Customer,62,F,Divorced,Diyala,Unknown,Blue,44,4,4721891,7538759,10,0.039
1000196,Existing Customer,49,M,Single,Erbil,20M - 40M,Blue,48,1,5463562,6418339,34,0.147
1000197,Churned Customer,57,F,Married,Baghdad,10M - 20M,Silver,25,5,15461757,1792101,16,0.112
1000198,Existing Customer,56,F,Single,Wasit,Less than 10M,Blue,22,3,6846590,4763358,19,0.46
1000199,Existing Customer,36,F,Divorced,Sulaymaniyah,Unknown,Silver,49,2,6218877,7487283,26,0.148
1000200,Existing Customer,28,M,Single,Muthanna,10M - 20M,Blue,54,3,24265643,4603538,22,0.217
1000201,Existing Customer,42,M,Single,Nineveh,10M - 20M,Gold,22,1,20803531,3464734,42,0.322
1000202,Existing Customer,69,F,Divorced,Muthanna,10M - 20M,Blue,19,5,16796651,11164615,31,0.322
1000203,Churned Customer,27,F,Divorced,Kirkuk,Less than 10M,Blue,24,5,5836510,11765495,17,0.065
1000204,Churned Customer,45,M,Divorced,Wasit,40M - 60M,Blue,29,4,16731864,4146902,16,0.015
1000205,Existing Customer,40,M,Married,Babil,Unknown,Blue,33,4,24042696,5625969,27,0.054
1000206,Existing Customer,38,M,Divorced,Diyala,20M - 40M,Blue,12,3,15870259,13734832,44,0.3
1000207,Existing Customer,41,M,Single,Najaf,60M+,Blue,56,6,20247467,5006159,55,0.062
1000208,Existing Customer,48,M,Married,Diyala,10M - 20M,Blue,34,2,13367893,13408283,97,0.281
1000209,Existing Customer,33,M,Unknown,Kirkuk,20M - 40M,Silver,21,5,11804747,7676475,108,0.737
1000210,Existing Customer,48,F,Single,Dhi Qar,40M - 60M,Blue,17,6,13369243,9974266,116,0.293
1000211,Existing Customer,63,M,Married,Muthanna,20M - 40M,Blue,36,0,24808530,13221765,12,0.031
1000212,Churned Customer,50,F,Single,Baghdad,40M - 60M,Gold,54,6,24341104,9978043,28,0.159
1000213,Churned Customer,68,F,Married,Qadisiyah,Unknown,Blue,25,2,10363681,12208248,9,0.024
1000214,Existing Customer,53,M,Single,Baghdad,20M - 40M,Blue,37,4,16423658,13578815,93,0.428
1000215,Existing Customer,22,F,Divorced,Anbar,40M - 60M,Blue,41,0,8387693,9714941,106,0.122
1000216,Existing Customer,56,F,Married,Karbala,Unknown,Blue,54,3,22152955,11786781,42,0.499
1000217,Churned Customer,39,M,Unknown,Qadisiyah,40M - 60M,Silver,15,6,11837497,6700604,12,0.071
1000218,Churned Customer,58,M,Divorced,Salah Al-Din,10M - 20M,Blue,26,6,16744915,2357421,17,0.099
1000219,Existing Customer,34,F,Unknown,Dhi Qar,40M - 60M,Blue,57,0,3393945,14496901,92,0.344
1000220,Existing Customer,42,F,Divorced,Muthanna,Less than 10M,Blue,14,3,7328215,8454748,79,0.766
1000221,Churned Customer,52,M,Single,Kirkuk,40M - 60M,Blue,47,5,3877162,10941241,23,0.166
1000222,Existing Customer,42,M,Divorced,Duhok,60M+,Blue,29,0,5745419,9155633,47,0.32
1000223,Churned Customer,46,M,Married,Muthanna,10M - 20M,Blue,21,6,4533884,5120175,6,0.065
1000224,Churned Customer,52,M,Unknown,Kirkuk,10M - 20M,Blue,34,5,19912953,14796242,30,0.199
1000225,Churned Customer,24,M,Divorced,Nineveh,Less than 10M,Blue,26,5,12725936,12420616,14,0.059
1000226,Existing Customer,26,M,Divorced,Qadisiyah,10M - 20M,Blue,52,0,17206561,5288965,99,0.175
1000227,Existing Customer,45,F,Divorced,Nineveh,10M - 20M,Blue,41,2,22329817,5979553,94,0.761
1000228,Existing Customer,64,F,Married,Erbil,20M - 40M,Blue,18,2,24665482,3112798,29,0.764
1000229,Existing Customer,22,M,Divorced,Sulaymaniyah,20M - 40M,Blue,53,2,10297766,6097033,101,0.117
1000230,Churned Customer,46,F,Married,Kirkuk,10M - 20M,Blue,13,5,10209852,14727204,16,0.087
1000231,Churned Customer,34,M,Married,Kirkuk,40M - 60M,Blue,18,5,17294745,4376894,34,0.096
1000232,Existing Customer,36,M,Divorced,Anbar,40M - 60M,Blue,32,5,22279378,11608606,120,0.075
1000233,Churned Customer,58,F,Single,Duhok,10M - 20M,Gold,41,4,2760597,2941706,25,0.179
1000234,Churned Customer,41,F,Single,Anbar,10M - 20M,Blue,46,0,3460633,6936766,31,0.189
1000235,Existing Customer,41,M,Married,Baghdad,60M+,Blue,52,2,22406061,6303555,77,0.111
1000236,Existing Customer,46,F,Unknown,Kirkuk,Unknown,Gold,53,5,15417960,14431514,114,0.75
1000237,Churned Customer,50,M,Unknown,Anbar,Unknown,Blue,36,6,8936377,13648431,5,0.089
1000238,Existing Customer,61,F,Married,Karbala,Unknown,Blue,58,6,12453725,9252436,38,0.183
1000239,Existing Customer,64,F,Single,Muthanna,60M+,Silver,53,2,21920012,11365238,33,0.354
1000240,Existing Customer,29,F,Divorced,Basra,20M - 40M,Blue,51,2,3914337,7910856,36,0.635
1000241,Existing Customer,34,M,Unknown,Muthanna,10M - 20M,Blue,58,2,15099699,8496886,116,0.097
1000242,Churned Customer,29,F,Married,Dhi Qar,Less than 10M,Blue,26,4,18174005,8674574,32,0.074
1000243,Existing Customer,39,M,Unknown,Babil,10M - 20M,Blue,31,1,7176812,3143314,115,0.374
1000244,Existing Customer,21,F,Married,Salah Al-Din,10M - 20M,Silver,44,5,16763203,5864404,71,0.108
1000245,Existing Customer,69,F,Single,Duhok,Less than 10M,Blue,54,0,14042056,6356564,59,0.197
1000246,Existing Customer,65,M,Unknown,Anbar,20M - 40M,Blue,29,5,19733532,8762164,102,0.257
1000247,Existing Customer,64,M,Married,Salah Al-Din,20M - 40M,Silver,38,4,19424870,1685101,41,0.47
1000248,Churned Customer,65,F,Divorced,Anbar,10M - 20M,Blue,13,5,24863582,6435941,20,0.059
1000249,Existing Customer,52,F,Unknown,Qadisiyah,Unknown,Silver,17,1,17372422,2811625,14,0.746
1000250,Existing Customer,44,F,Single,Wasit,20M - 40M,Blue,42,3,3763845,14156157,109,0.048
1000251,Existing Customer,56,M,Married,Karbala,Unknown,Silver,48,3,5396051,6385046,23,0.489
1000252,Churned Customer,67,F,Unknown,Karbala,Unknown,Blue,43,6,12636125,11771636,8,0.009
1000253,Existing Customer,21,F,Married,Najaf,Unknown,Blue,22,3,16806699,10806385,78,0.538
1000254,Existing Customer,41,F,Divorced,Qadisiyah,10M - 20M,Blue,38,1,18358487,11408425,52,0.545
1000255,Existing Customer,70,F,Single,Erbil,40M - 60M,Blue,23,0,11536719,2031315,43,0.512
1000256,Existing Customer,33,M,Married,Muthanna,Unknown,Blue,13,3,14129613,6276454,116,0.092
1000257,Churned Customer,69,M,Married,Maysan,20M - 40M,Blue,30,6,2241911,4826447,22,0.063
1000258,Existing Customer,36,M,Divorced,Kirkuk,40M - 60M,Blue,24,3,13620656,8491717,114,0.57
